Timestamp,"Стартова заплата на текущата позиция (месечна, нето, в лева)","Текуща заплата (месечна, нето, в лева)",Колко години стаж имате на текущата позиция?,Колко години стаж имате?,За колко човека отговаряте?,В коя област работите?,Какво е точното название на позицията Ви?,Град,Заплаща ли се Overtime,"Годишен размер на паричните бонуси (Нето, в лева)","Име на фирмата, в която работите",Какви технологии ползвате?,Имаше ли съкращения във вашата фирма в резултат на кризата,"Получихте ли увеличение на заплатата, което да компенсира инфлацията в страната",Предлага ли по принцип дистанционна работа фирмата Ви,Фирмата изисква ли естимейти преди започване на таск,Фирмата изисква ли отчитане на часове за работния ден,"Фирмата предлага ли работно време по твое желание (изключвайки срещите)? ""Имаш да свършиш това за днес, пък кога го вършиш - е твоя работа",Получавате ли бонуси на база добре свършена работа,Тип на компанията,Има ли и какви стокови опции или подобни,Брой дни платен отпуск,Получавате ли допълнително здравно осигуряване,Получавате ли карта/бюджет за спорт,"Получавате ли бюджет за допълнителни обучения, курсове и сертификати",Бележки
1/20/2023 14:53:00,6000,6400,1,8,4,Разработка на софтуер (Dev),Lead Architect,София,Да,6000,,"Java, Kotlin, Ruby",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,"не, бонусите са фиксирани",Сървис,не,25,Да,Да,Да,
1/20/2023 15:33:13,,7200,,10,0,Разработка на софтуер (Dev),Senior Java developer,София,Няма overtime,0,,Java,не,не,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,"не, нямаме бонуси",,,,Да,Да,,
1/20/2023 17:38:00,4200,4500,3,21,1,Разработка на софтуер (Dev),компютърен специалист,София,Да,0,,"JavaScript, SFCC, React, JQuery",да,,дистанционно по желание без ограничение,"да, и следи за спазването",да,"не, работим фиксирано","не, нямаме бонуси",Сървис,,20,Да,Да,Да,
1/20/2023 17:52:22,1700,2900,1.7,1.7,0,QA,Automation Tester,София,Няма overtime,0,,.NET,не,не,дистанционно по желание без ограничение,"да, и следи за спазването",не,"не, работим фиксирано","не, нямаме бонуси",Сървис,"има, но не са особено атрактивни към момента",21,Да,Да,Да,80 лв ваучери
1/20/2023 19:43:15,8500,8500,0.2,8,0,Разработка на софтуер (Dev),Software Developer,Remote,Няма overtime,0,,,не,не,100% дистанционно,не,не,да,"не, нямаме бонуси",Сървис,,26,Да,Да,Да,
1/20/2023 19:51:44,8500,8790,1,18,1,QA,Lead QA Engineer,София,Няма overtime,0,,"PHP, VUE, C#",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",не,да,"не, нямаме бонуси",Продукт,,25,Да,Да,Да,
1/20/2023 19:55:46,4000,5000,2,4,1,Разработка на софтуер (Dev),Data Scientist,София,Не,15000,,,,,,,,,,,,,,,,
1/20/2023 21:10:02,6500,7500,2,20,0,QA,software test engineer,София,Няма overtime,10000,,"C, bash, Python",не,да,дистанционно по желание без ограничение,не,не,да,"не, бонусите са фиксирани",Продукт,,25,Да,Не,Да,
1/21/2023 11:07:46,5500,5500,,3.5,0,Разработка на софтуер (Dev),Android Developer,София,Няма overtime,0,,"Java, Kotlin",не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",не,да,да,Продукт,Няма,25,Да,Да,Да,
1/22/2023 12:11:27,4000,5200,1,3,0,Разработка на софтуер (Dev),Software Developer,София,Няма overtime,0,,"Angular, Spring",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,"не, работим фиксирано","не, нямаме бонуси",Сървис,,,,Не,Не,
1/22/2023 12:14:46,6000,10000,2,5,4,Разработка на софтуер (Dev),Software Engineer,София,Няма overtime,15000,,"Java, JS, Spring, React",не,не,100% дистанционно,"да, и следи за спазването",,,,,,30,Да,Да,Да,
1/22/2023 12:16:38,10000,10000,0.5,4,5,Разработка на софтуер (Dev),Senior Software Developer,София,Да,10000,,"JavaScript, Java, Angular, Spring Boot, SQL",не,не,дистанционно по желание без ограничение,"да, и следи за спазването",да,да,"не, нямаме бонуси",Сървис,,,Да,Да,Да,
1/22/2023 12:19:54,3250,4900,1,2,0,Разработка на софтуер (Dev),Developer,София,Няма overtime,5000,,"JavaScript, Angular, Java, Spring ",не,да,100% дистанционно,не,да,да,да,,,27,Да,Да,Да,
1/22/2023 12:22:23,4000,4000,0,1,0,Разработка на софтуер (Dev),Junior Java Developer,София,Няма overtime,2000,,"Java, Spring, MySQL",не,не,100% дистанционно,не,да,да,да,Сървис,,,Да,Не,Да,Ваучери за храна - 40лв
1/22/2023 12:27:01,8000,12000,2,6,5,Разработка на софтуер (Dev),Senior Software Engineer,София,Няма overtime,10000,,"Angular, TypeScript",не,не,100% дистанционно,"да, но не се налага спазването им",да,да,да,Сървис,,26,Да,Да,Не,Ваучери за 100лева
1/22/2023 13:01:33,4000,6300,2,3,0,Разработка на софтуер (Dev),Frontend Developer,София,Да,0,,,не,не,100% дистанционно,не,да,да,"не, нямаме бонуси",Продукт,,25,Да,Да,Да,150 ваучери
1/22/2023 20:05:54,,6000,,5,0,Разработка на софтуер (Dev),Full stack,София,Няма overtime,0,,,не,да,няколко задължително присъствени дни,не,не,"не, работим фиксирано","не, нямаме бонуси",,,,Да,Да,Не,
1/23/2023 1:39:39,6000,10500,6,15,40,Мениджмънт/Тиим Лиид,Software development manager,София,Не,30000,,"C, C++, C#, JAVA, JavaScript, Python",не,да,дистанционно по желание без ограничение,"да, и следи за спазването",не,да,да,Сървис,не,26,Да,Да,Да,Доста овъртайм
1/23/2023 4:42:54,4000,6000,2,6,2,Разработка на софтуер (Dev),Senior Software Engineer,Пловдив,Да,5000,Outsource,Java ecosystem based,не,да,дистанционно по желание без ограничение,"да, но не се налага спазването им",да,да,да,Сървис,Не,20,Да,Да,По желание,Рядко се прави overtime
1/23/2023 10:32:08,2300,4300,4,23,0,QA,QA Engineer,София,Няма overtime,0,,"MySQL, svn, Jira",да,"получих, но не токлкова, че да компенсира официалната инфлация",дистанционно по желание без ограничение,не,да,"не, работим фиксирано","не, нямаме бонуси",Продукт,,25,Да,Да,Не,"ваучери за храна, Коледни и Великденски подаръци"
